ピン番号,内部ピン名称 (MCU),機能名称,備考
1,PB12,MCU_LED1,Active-High
2,PC14,CC1,USB PD
3,PC15,CC2,USB PD
4,PC3,MCU_LED2,Active-Low
5,PC1,Servo CH3/ADC,TIM1_CH2 (Full Remap)/ADC
6,PA0,Servo CH0/ADC,TIM2_CH1/ADC
7,PA1,Servo CH1/ADC,TIM2_CH2/ADC
8,PA2,UART_A (USART2),1-Wire Mode
9,PA3,Servo CH2/ADC,TIM2_CH4/ADC
10,PA4,OPA2_OUT,内部接続 (ADC_IN4)
11,PA5,UART_B (USART4),1-Wire Mode (Remap 001)
12,PA6,V_SENSE,ADC_IN6
13,PA7,I_SENSE_P,OPA2_P0
14,PB1,T_SENSE,ADC_IN9
15,GND,GND,
16,VDD,VDD,
17,PC16,USB_DM,
18,PC17,USB_DP,
19,PC18,SWDIO,
20,PC19,SWCLK,
